Train Metrics
Epoch 0, 25% 	 Loss : 4.1236e+03 	 Res : 1.1814e+02 	 Enc : 3.2258e+02 	 AEnc : 2.7715e+01 	 MSE : 1.0452e+02
Epoch 0, 50% 	 Loss : 1.6438e+03 	 Res : 2.8032e+01 	 Enc : 1.4209e+02 	 AEnc : 5.5108e+00 	 MSE : 6.7894e+01
Epoch 0, 75% 	 Loss : 5.1476e+02 	 Res : 1.7854e+01 	 Enc : 3.4958e+01 	 AEnc : 2.0666e+00 	 MSE : 6.1530e+01
Training Epoch 0 : 	 Train : 1.64499e+03 	 Res : 4.43344e+01 	 Enc : 1.28844e+02 	 AE : 9.17992e+00 	 MSE : 7.32724e+01
Validation Epoch 0 : 	 Train : 1.09914e+02 	 Res : 7.29218e+00 	 Enc : 1.66162e+00 	 AE : 3.65324e-01 	 MSE : 5.31748e+01
Training Epoch 0 finished, took current epoch 60.45s, cumulative time 60.35s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 8.8163e+01 	 Res : 6.4352e+00 	 Enc : 1.0188e+00 	 AEnc : 2.6067e-01 	 MSE : 5.2801e+01
Epoch 1, 50% 	 Loss : 5.8005e+01 	 Res : 4.3014e+00 	 Enc : 4.3880e-01 	 AEnc : 2.1785e-01 	 MSE : 5.0802e+01
Epoch 1, 75% 	 Loss : 4.1337e+01 	 Res : 2.5259e+00 	 Enc : 3.5538e-01 	 AEnc : 2.7568e-01 	 MSE : 5.5635e+01
Training Epoch 1 : 	 Train : 5.43790e+01 	 Res : 3.78310e+00 	 Enc : 5.09956e-01 	 AE : 2.31662e-01 	 MSE : 5.65913e+01
Validation Epoch 1 : 	 Train : 1.77704e+01 	 Res : 1.00505e+00 	 Enc : 1.99655e-01 	 AE : 5.01292e-02 	 MSE : 6.33875e+01
Training Epoch 1 finished, took current epoch 56.98s, cumulative time 117.24s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 1.5097e+01 	 Res : 8.4448e-01 	 Enc : 1.6960e-01 	 AEnc : 3.1695e-02 	 MSE : 5.6317e+01
Epoch 2, 50% 	 Loss : 1.1573e+01 	 Res : 5.3074e-01 	 Enc : 1.5194e-01 	 AEnc : 2.5055e-02 	 MSE : 4.2506e+01
Epoch 2, 75% 	 Loss : 9.6375e+00 	 Res : 4.6312e-01 	 Enc : 1.3290e-01 	 AEnc : 1.5083e-02 	 MSE : 3.4764e+01
Training Epoch 2 : 	 Train : 1.10922e+01 	 Res : 5.48053e-01 	 Enc : 1.40723e-01 	 AE : 2.04356e-02 	 MSE : 4.11224e+01
Validation Epoch 2 : 	 Train : 7.02847e+00 	 Res : 2.91151e-01 	 Enc : 1.03901e-01 	 AE : 6.54108e-03 	 MSE : 2.58952e+01
Training Epoch 2 finished, took current epoch 56.13s, cumulative time 173.26s
Current Learning rate : 0.001
MODEL SAVED
Epoch 3, 25% 	 Loss : 6.2948e+00 	 Res : 2.5232e-01 	 Enc : 8.9264e-02 	 AEnc : 5.5173e-03 	 MSE : 2.5618e+01
