Train Metrics
Epoch 0, 25% 	 Loss : 7.1574e+04 	 Res : 5.4131e+02 	 Enc : 2.3004e+03 	 AEnc : 2.4754e+02 	 MSE : 4.2397e+02
Epoch 0, 50% 	 Loss : 4.0974e+04 	 Res : 1.3475e+02 	 Enc : 1.6501e+03 	 AEnc : 1.7842e+01 	 MSE : 8.3671e+01
Epoch 0, 75% 	 Loss : 4.2777e+04 	 Res : 7.9638e+01 	 Enc : 1.8476e+03 	 AEnc : 1.0359e+01 	 MSE : 7.5864e+01
Training Epoch 0 : 	 Train : 5.09816e+04 	 Res : 2.08614e+02 	 Enc : 1.95524e+03 	 AE : 7.38402e+01 	 MSE : 1.69416e+02
Validation Epoch 0 : 	 Train : 4.54563e+04 	 Res : 1.15033e+02 	 Enc : 1.84625e+03 	 AE : 1.71832e+01 	 MSE : 9.13681e+01
Training Epoch 0 finished, took current epoch 112.15s, cumulative time 112.07s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 4.2379e+04 	 Res : 1.0631e+02 	 Enc : 1.7556e+03 	 AEnc : 1.2978e+01 	 MSE : 8.9058e+01
Epoch 1, 50% 	 Loss : 2.4371e+04 	 Res : 3.9131e+01 	 Enc : 9.2774e+02 	 AEnc : 4.2067e+01 	 MSE : 1.5591e+02
Epoch 1, 75% 	 Loss : 1.2167e+04 	 Res : 3.1564e+01 	 Enc : 4.0593e+02 	 AEnc : 6.9407e+01 	 MSE : 5.6738e+02
Training Epoch 1 : 	 Train : 2.20939e+04 	 Res : 5.53962e+01 	 Enc : 8.58951e+02 	 AE : 3.13649e+01 	 MSE : 4.62221e+02
Validation Epoch 1 : 	 Train : 6.80160e+03 	 Res : 5.06058e+01 	 Enc : 2.31270e+02 	 AE : 3.93717e-02 	 MSE : 1.15348e+03
Training Epoch 1 finished, took current epoch 107.36s, cumulative time 219.39s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 4.7364e+03 	 Res : 5.3300e+01 	 Enc : 1.4316e+02 	 AEnc : 1.5544e-01 	 MSE : 9.5089e+02
Epoch 2, 50% 	 Loss : 1.0551e+03 	 Res : 1.4777e+01 	 Enc : 1.1631e+01 	 AEnc : 1.9868e-01 	 MSE : 1.0135e+02
Epoch 2, 75% 	 Loss : 3.7001e+02 	 Res : 3.8411e+00 	 Enc : 1.0601e+00 	 AEnc : 4.4331e-01 	 MSE : 4.8547e+01
Training Epoch 2 : 	 Train : 1.63438e+03 	 Res : 1.88687e+01 	 Enc : 4.03901e+01 	 AE : 2.61774e-01 	 MSE : 2.93302e+02
Validation Epoch 2 : 	 Train : 1.73995e+02 	 Res : 1.31005e+00 	 Enc : 8.68529e-01 	 AE : 1.64771e-01 	 MSE : 3.87698e+01
Training Epoch 2 finished, took current epoch 107.40s, cumulative time 326.74s
Current Learning rate : 0.001
MODEL SAVED
Epoch 3, 25% 	 Loss : 1.4209e+02 	 Res : 1.0194e+00 	 Enc : 7.8166e-01 	 AEnc : 1.1275e-01 	 MSE : 3.7638e+01
Epoch 3, 50% 	 Loss : 9.2094e+01 	 Res : 5.8230e-01 	 Enc : 5.5381e-01 	 AEnc : 6.1116e-02 	 MSE : 3.1630e+01
Epoch 3, 75% 	 Loss : 6.7457e+01 	 Res : 3.9919e-01 	 Enc : 3.9411e-01 	 AEnc : 3.6684e-02 	 MSE : 2.8533e+01
Training Epoch 3 : 	 Train : 8.90748e+01 	 Res : 5.74213e-01 	 Enc : 5.09135e-01 	 AE : 6.00822e-02 	 MSE : 3.08016e+01
Validation Epoch 3 : 	 Train : 4.40928e+01 	 Res : 2.16482e-01 	 Enc : 2.50940e-01 	 AE : 2.48877e-02 	 MSE : 2.11259e+01
Training Epoch 3 finished, took current epoch 108.03s, cumulative time 434.72s
Current Learning rate : 0.001
MODEL SAVED
Epoch 4, 25% 	 Loss : 4.0604e+01 	 Res : 1.9744e-01 	 Enc : 2.2130e-01 	 AEnc : 1.9306e-02 	 MSE : 2.0682e+01
Epoch 4, 50% 	 Loss : 3.8290e+01 	 Res : 1.9280e-01 	 Enc : 1.9107e-01 	 AEnc : 1.6923e-02 	 MSE : 2.1309e+01
Epoch 4, 75% 	 Loss : 3.3875e+01 	 Res : 1.5870e-01 	 Enc : 1.6709e-01 	 AEnc : 1.5672e-02 	 MSE : 1.9529e+01
