Train Metrics
Epoch 0, 25% 	 Loss : 1.0467e+02 	 Res : 1.0837e+01 	 MSE : 6.1127e+01
Epoch 0, 50% 	 Loss : 9.0604e+01 	 Res : 1.6596e+01 	 MSE : 1.0142e+02
Epoch 0, 75% 	 Loss : 2.8891e+01 	 Res : 9.9133e-01 	 MSE : 3.8671e+01
Training Epoch 0 : 	 Train : 5.99312e+01 	 Res : 7.27320e+00 	 MSE : 5.61508e+01
Validation Epoch 0 : 	 Train : 8.63708e+00 	 Res : 1.40285e-01 	 MSE : 1.63845e+01
Training Epoch 0 finished, took current epoch 55.83s, cumulative time 55.47s
MODEL SAVED
Epoch 1, 25% 	 Loss : 6.3428e+00 	 Res : 1.1024e-01 	 MSE : 1.5429e+01
Epoch 1, 50% 	 Loss : 3.8753e+00 	 Res : 7.8520e-02 	 MSE : 1.4284e+01
Epoch 1, 75% 	 Loss : 2.9530e+00 	 Res : 6.9152e-02 	 MSE : 1.2772e+01
Training Epoch 1 : 	 Train : 3.86679e+00 	 Res : 7.68554e-02 	 MSE : 1.30713e+01
Validation Epoch 1 : 	 Train : 1.77704e+00 	 Res : 3.28562e-02 	 MSE : 7.06699e+00
Training Epoch 1 finished, took current epoch 51.21s, cumulative time 106.28s
MODEL SAVED
Epoch 2, 25% 	 Loss : 1.6107e+00 	 Res : 3.2906e-02 	 MSE : 9.1033e+00
Epoch 2, 50% 	 Loss : 1.4444e+00 	 Res : 3.1169e-02 	 MSE : 8.9160e+00
Epoch 2, 75% 	 Loss : 1.1734e+00 	 Res : 2.2713e-02 	 MSE : 6.5466e+00
Training Epoch 2 : 	 Train : 1.34835e+00 	 Res : 2.75854e-02 	 MSE : 7.83917e+00
Validation Epoch 2 : 	 Train : 1.08623e+00 	 Res : 2.02528e-02 	 MSE : 7.20982e+00
Training Epoch 2 finished, took current epoch 52.52s, cumulative time 158.51s
MODEL SAVED
Epoch 3, 25% 	 Loss : 1.0384e+00 	 Res : 1.8973e-02 	 MSE : 5.2023e+00
Epoch 3, 50% 	 Loss : 9.7542e-01 	 Res : 1.6296e-02 	 MSE : 4.2953e+00
Epoch 3, 75% 	 Loss : 9.4146e-01 	 Res : 1.5435e-02 	 MSE : 3.7768e+00
Training Epoch 3 : 	 Train : 9.97189e-01 	 Res : 1.96260e-02 	 MSE : 4.44422e+00
Validation Epoch 3 : 	 Train : 1.00423e+00 	 Res : 2.85591e-02 	 MSE : 5.22694e+00
Training Epoch 3 finished, took current epoch 52.69s, cumulative time 211.06s
Epoch 4, 25% 	 Loss : 9.4595e-01 	 Res : 1.9994e-02 	 MSE : 4.4284e+00
Epoch 4, 50% 	 Loss : 9.0820e-01 	 Res : 1.5793e-02 	 MSE : 3.9215e+00
Epoch 4, 75% 	 Loss : 8.7977e-01 	 Res : 1.3116e-02 	 MSE : 3.1973e+00
Training Epoch 4 : 	 Train : 9.07063e-01 	 Res : 1.60188e-02 	 MSE : 3.71500e+00
Validation Epoch 4 : 	 Train : 8.52077e-01 	 Res : 1.39500e-02 	 MSE : 3.91092e+00
Training Epoch 4 finished, took current epoch 52.70s, cumulative time 263.46s
MODEL SAVED
Epoch 5, 25% 	 Loss : 8.4471e-01 	 Res : 1.1717e-02 	 MSE : 3.0139e+00
Epoch 5, 50% 	 Loss : 8.3167e-01 	 Res : 1.2003e-02 	 MSE : 2.7536e+00
Epoch 5, 75% 	 Loss : 7.9730e-01 	 Res : 1.0241e-02 	 MSE : 2.1502e+00
Training Epoch 5 : 	 Train : 8.34955e-01 	 Res : 1.20111e-02 	 MSE : 2.70004e+00
Validation Epoch 5 : 	 Train : 8.26838e-01 	 Res : 1.47855e-02 	 MSE : 1.28179e+00
Training Epoch 5 finished, took current epoch 52.06s, cumulative time 315.37s
Epoch 6, 25% 	 Loss : 7.8127e-01 	 Res : 8.0886e-03 	 MSE : 2.1181e+00
Epoch 6, 50% 	 Loss : 8.1247e-01 	 Res : 1.0729e-02 	 MSE : 2.7280e+00
Epoch 6, 75% 	 Loss : 8.0316e-01 	 Res : 1.0358e-02 	 MSE : 2.4385e+00
Training Epoch 6 : 	 Train : 7.94418e-01 	 Res : 1.00424e-02 	 MSE : 2.32224e+00
Validation Epoch 6 : 	 Train : 8.16596e-01 	 Res : 1.70250e-02 	 MSE : 1.62852e+00
Training Epoch 6 finished, took current epoch 52.82s, cumulative time 368.03s
Epoch 7, 25% 	 Loss : 7.7534e-01 	 Res : 9.2746e-03 	 MSE : 2.0246e+00
Epoch 7, 50% 	 Loss : 7.7816e-01 	 Res : 9.1873e-03 	 MSE : 1.7180e+00
Epoch 7, 75% 	 Loss : 7.7736e-01 	 Res : 8.2929e-03 	 MSE : 1.8710e+00
Training Epoch 7 : 	 Train : 7.80120e-01 	 Res : 9.85956e-03 	 MSE : 1.99788e+00
Validation Epoch 7 : 	 Train : 8.07786e-01 	 Res : 1.47730e-02 	 MSE : 4.22468e+00
Training Epoch 7 finished, took current epoch 53.17s, cumulative time 421.06s
Epoch 8, 25% 	 Loss : 7.6914e-01 	 Res : 8.1775e-03 	 MSE : 1.9395e+00
Epoch 8, 50% 	 Loss : 7.4341e-01 	 Res : 6.6785e-03 	 MSE : 1.7033e+00
Epoch 8, 75% 	 Loss : 7.7088e-01 	 Res : 1.1176e-02 	 MSE : 1.6209e+00
Training Epoch 8 : 	 Train : 7.64984e-01 	 Res : 8.82735e-03 	 MSE : 1.75615e+00
Validation Epoch 8 : 	 Train : 7.42667e-01 	 Res : 6.65642e-03 	 MSE : 1.45280e+00
Training Epoch 8 finished, took current epoch 51.25s, cumulative time 471.98s
MODEL SAVED
Epoch 9, 25% 	 Loss : 7.9333e-01 	 Res : 9.7931e-03 	 MSE : 2.0457e+00
Epoch 9, 50% 	 Loss : 7.7821e-01 	 Res : 1.0627e-02 	 MSE : 1.7656e+00
Epoch 9, 75% 	 Loss : 7.0535e-01 	 Res : 5.3184e-03 	 MSE : 1.2635e+00
Training Epoch 9 : 	 Train : 7.53988e-01 	 Res : 8.36331e-03 	 MSE : 1.67839e+00
Validation Epoch 9 : 	 Train : 6.93119e-01 	 Res : 4.10253e-03 	 MSE : 9.48433e-01
Training Epoch 9 finished, took current epoch 52.07s, cumulative time 523.75s
MODEL SAVED
Epoch 10, 25% 	 Loss : 7.2467e-01 	 Res : 8.3341e-03 	 MSE : 1.7868e+00
Epoch 10, 50% 	 Loss : 7.4696e-01 	 Res : 7.3165e-03 	 MSE : 1.5483e+00
Epoch 10, 75% 	 Loss : 7.4692e-01 	 Res : 8.4608e-03 	 MSE : 1.5656e+00
Training Epoch 10 : 	 Train : 7.45177e-01 	 Res : 8.38513e-03 	 MSE : 1.59523e+00
Validation Epoch 10 : 	 Train : 7.85320e-01 	 Res : 1.45509e-02 	 MSE : 1.36990e+00
Training Epoch 10 finished, took current epoch 50.79s, cumulative time 574.39s
Epoch 11, 25% 	 Loss : 7.7088e-01 	 Res : 1.0857e-02 	 MSE : 1.5036e+00
Epoch 11, 50% 	 Loss : 7.4315e-01 	 Res : 8.0675e-03 	 MSE : 1.0634e+00
Epoch 11, 75% 	 Loss : 7.2108e-01 	 Res : 6.7284e-03 	 MSE : 1.5025e+00
Training Epoch 11 : 	 Train : 7.37921e-01 	 Res : 7.99844e-03 	 MSE : 1.32039e+00
Validation Epoch 11 : 	 Train : 6.89283e-01 	 Res : 5.02081e-03 	 MSE : 6.17956e-01
Training Epoch 11 finished, took current epoch 51.59s, cumulative time 625.83s
Epoch 12, 25% 	 Loss : 7.3181e-01 	 Res : 8.1374e-03 	 MSE : 1.6166e+00
Epoch 12, 50% 	 Loss : 7.2591e-01 	 Res : 8.4294e-03 	 MSE : 1.0800e+00
Epoch 12, 75% 	 Loss : 7.6064e-01 	 Res : 9.5448e-03 	 MSE : 1.4069e+00
Training Epoch 12 : 	 Train : 7.31469e-01 	 Res : 8.03896e-03 	 MSE : 1.35547e+00
Validation Epoch 12 : 	 Train : 6.85285e-01 	 Res : 3.88545e-03 	 MSE : 1.10973e+00
Training Epoch 12 finished, took current epoch 52.56s, cumulative time 678.09s
MODEL SAVED
Epoch 13, 25% 	 Loss : 7.0741e-01 	 Res : 6.6901e-03 	 MSE : 1.2139e+00
Epoch 13, 50% 	 Loss : 7.2278e-01 	 Res : 8.0562e-03 	 MSE : 1.2958e+00
Epoch 13, 75% 	 Loss : 7.5566e-01 	 Res : 8.4087e-03 	 MSE : 1.3717e+00
Training Epoch 13 : 	 Train : 7.22855e-01 	 Res : 7.30403e-03 	 MSE : 1.21765e+00
Validation Epoch 13 : 	 Train : 7.00202e-01 	 Res : 4.48909e-03 	 MSE : 3.77568e-01
Training Epoch 13 finished, took current epoch 50.76s, cumulative time 728.70s
Epoch 14, 25% 	 Loss : 7.2279e-01 	 Res : 7.3027e-03 	 MSE : 1.2166e+00
Epoch 14, 50% 	 Loss : 7.1756e-01 	 Res : 6.2028e-03 	 MSE : 1.3218e+00
Epoch 14, 75% 	 Loss : 7.0058e-01 	 Res : 5.4807e-03 	 MSE : 1.1126e+00
Training Epoch 14 : 	 Train : 7.07861e-01 	 Res : 5.72519e-03 	 MSE : 1.10093e+00
Validation Epoch 14 : 	 Train : 6.82736e-01 	 Res : 3.91911e-03 	 MSE : 4.78330e-01
Training Epoch 14 finished, took current epoch 52.34s, cumulative time 780.89s
Epoch 15, 25% 	 Loss : 6.8529e-01 	 Res : 4.0046e-03 	 MSE : 6.9083e-01
Epoch 15, 50% 	 Loss : 7.1269e-01 	 Res : 5.7516e-03 	 MSE : 1.2674e+00
Epoch 15, 75% 	 Loss : 6.9167e-01 	 Res : 5.2362e-03 	 MSE : 9.9369e-01
Training Epoch 15 : 	 Train : 7.01692e-01 	 Res : 5.28550e-03 	 MSE : 9.67305e-01
Validation Epoch 15 : 	 Train : 7.18757e-01 	 Res : 9.24063e-03 	 MSE : 2.11359e+00
Training Epoch 15 finished, took current epoch 53.05s, cumulative time 833.82s
Epoch 16, 25% 	 Loss : 7.1749e-01 	 Res : 6.8089e-03 	 MSE : 8.3610e-01
Epoch 16, 50% 	 Loss : 6.9197e-01 	 Res : 6.5618e-03 	 MSE : 1.0558e+00
Epoch 16, 75% 	 Loss : 6.9959e-01 	 Res : 6.1603e-03 	 MSE : 8.6516e-01
Training Epoch 16 : 	 Train : 7.07231e-01 	 Res : 6.09388e-03 	 MSE : 9.43442e-01
Validation Epoch 16 : 	 Train : 7.15729e-01 	 Res : 8.26531e-03 	 MSE : 1.64856e+00
Training Epoch 16 finished, took current epoch 53.26s, cumulative time 886.91s
Epoch 17, 25% 	 Loss : 6.9413e-01 	 Res : 4.1045e-03 	 MSE : 8.1381e-01
Epoch 17, 50% 	 Loss : 6.9225e-01 	 Res : 4.9792e-03 	 MSE : 9.6314e-01
Epoch 17, 75% 	 Loss : 6.8581e-01 	 Res : 5.8888e-03 	 MSE : 1.0574e+00
Training Epoch 17 : 	 Train : 6.88228e-01 	 Res : 4.41320e-03 	 MSE : 8.33926e-01
Validation Epoch 17 : 	 Train : 6.62104e-01 	 Res : 3.40534e-03 	 MSE : 5.80482e-01
Training Epoch 17 finished, took current epoch 52.36s, cumulative time 938.98s
MODEL SAVED
Epoch 18, 25% 	 Loss : 6.9629e-01 	 Res : 5.9284e-03 	 MSE : 8.0719e-01
Epoch 18, 50% 	 Loss : 7.0281e-01 	 Res : 5.9597e-03 	 MSE : 7.5706e-01
Epoch 18, 75% 	 Loss : 6.9697e-01 	 Res : 5.9266e-03 	 MSE : 1.1997e+00
Training Epoch 18 : 	 Train : 6.96066e-01 	 Res : 5.52095e-03 	 MSE : 8.78360e-01
Validation Epoch 18 : 	 Train : 6.67991e-01 	 Res : 4.78922e-03 	 MSE : 6.46256e-01
Training Epoch 18 finished, took current epoch 54.95s, cumulative time 993.79s
Epoch 19, 25% 	 Loss : 6.7797e-01 	 Res : 3.4216e-03 	 MSE : 7.1795e-01
Epoch 19, 50% 	 Loss : 6.8429e-01 	 Res : 4.2475e-03 	 MSE : 8.4636e-01
Epoch 19, 75% 	 Loss : 6.7994e-01 	 Res : 4.7625e-03 	 MSE : 9.0306e-01
Training Epoch 19 : 	 Train : 6.82685e-01 	 Res : 3.92232e-03 	 MSE : 7.47552e-01
Validation Epoch 19 : 	 Train : 6.82319e-01 	 Res : 5.20744e-03 	 MSE : 1.27100e+00
Training Epoch 19 finished, took current epoch 51.58s, cumulative time 1045.25s
Epoch 20, 25% 	 Loss : 6.9679e-01 	 Res : 5.6265e-03 	 MSE : 1.0319e+00
Epoch 20, 50% 	 Loss : 6.9825e-01 	 Res : 5.8139e-03 	 MSE : 8.3589e-01
Epoch 20, 75% 	 Loss : 6.7146e-01 	 Res : 4.7295e-03 	 MSE : 7.8864e-01
Training Epoch 20 : 	 Train : 6.90364e-01 	 Res : 5.46795e-03 	 MSE : 8.63846e-01
Validation Epoch 20 : 	 Train : 6.63799e-01 	 Res : 4.07465e-03 	 MSE : 6.69894e-01
