Train Metrics
Epoch 0, 25% 	 Loss : 1.2465e+03 	 Res : 3.2659e+01 	 Enc : 7.7164e+01 	 AEnc : 2.8845e+01 	 MSE : 9.2421e+01
Epoch 0, 50% 	 Loss : 2.1530e+02 	 Res : 6.2048e+00 	 Enc : 1.2806e+01 	 AEnc : 1.3032e+00 	 MSE : 5.3629e+01
Epoch 0, 75% 	 Loss : 4.8468e+01 	 Res : 3.0586e+00 	 Enc : 4.8051e-01 	 AEnc : 2.2125e-01 	 MSE : 5.1908e+01
Training Epoch 0 : 	 Train : 3.94700e+02 	 Res : 1.11676e+01 	 Enc : 2.33035e+01 	 AE : 7.87479e+00 	 MSE : 6.13326e+01
Validation Epoch 0 : 	 Train : 2.42158e+01 	 Res : 1.40224e+00 	 Enc : 1.82681e-01 	 AE : 1.54786e-01 	 MSE : 4.75260e+01
Training Epoch 0 finished, took current epoch 71.16s, cumulative time 71.14s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 1.9057e+01 	 Res : 9.7678e-01 	 Enc : 1.8992e-01 	 AEnc : 1.1776e-01 	 MSE : 4.5770e+01
Epoch 1, 50% 	 Loss : 1.2024e+01 	 Res : 6.1044e-01 	 Enc : 1.7326e-01 	 AEnc : 1.7534e-02 	 MSE : 4.2768e+01
Epoch 1, 75% 	 Loss : 9.4276e+00 	 Res : 4.4251e-01 	 Enc : 1.4539e-01 	 AEnc : 1.2863e-02 	 MSE : 3.9883e+01
Training Epoch 1 : 	 Train : 1.22949e+01 	 Res : 6.05372e-01 	 Enc : 1.60959e-01 	 AE : 3.99508e-02 	 MSE : 4.22668e+01
Validation Epoch 1 : 	 Train : 7.68645e+00 	 Res : 3.34723e-01 	 Enc : 1.23755e-01 	 AE : 6.02957e-03 	 MSE : 4.08254e+01
Training Epoch 1 finished, took current epoch 69.11s, cumulative time 140.23s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 7.0214e+00 	 Res : 3.0725e-01 	 Enc : 1.0922e-01 	 AEnc : 5.2469e-03 	 MSE : 3.9154e+01
Epoch 2, 50% 	 Loss : 6.1044e+00 	 Res : 2.7284e-01 	 Enc : 8.5999e-02 	 AEnc : 4.3462e-03 	 MSE : 3.8383e+01
Epoch 2, 75% 	 Loss : 5.2630e+00 	 Res : 2.3283e-01 	 Enc : 7.1055e-02 	 AEnc : 3.2665e-03 	 MSE : 3.6927e+01
Training Epoch 2 : 	 Train : 5.83857e+00 	 Res : 2.60039e-01 	 Enc : 8.19937e-02 	 AE : 3.98908e-03 	 MSE : 3.75956e+01
Validation Epoch 2 : 	 Train : 4.79606e+00 	 Res : 2.17480e-01 	 Enc : 5.62922e-02 	 AE : 3.01775e-03 	 MSE : 3.70408e+01
Training Epoch 2 finished, took current epoch 69.91s, cumulative time 210.11s
Current Learning rate : 0.001
MODEL SAVED
Epoch 3, 25% 	 Loss : 4.5238e+00 	 Res : 2.0378e-01 	 Enc : 5.4359e-02 	 AEnc : 2.7466e-03 	 MSE : 3.4906e+01
Epoch 3, 50% 	 Loss : 4.3836e+00 	 Res : 2.0143e-01 	 Enc : 4.7724e-02 	 AEnc : 2.4998e-03 	 MSE : 3.5067e+01
Epoch 3, 75% 	 Loss : 4.2760e+00 	 Res : 1.9500e-01 	 Enc : 4.5644e-02 	 AEnc : 2.3360e-03 	 MSE : 3.5498e+01
Training Epoch 3 : 	 Train : 4.29596e+00 	 Res : 1.97378e-01 	 Enc : 4.67864e-02 	 AE : 2.42860e-03 	 MSE : 3.46821e+01
Validation Epoch 3 : 	 Train : 3.86685e+00 	 Res : 1.73285e-01 	 Enc : 3.99042e-02 	 AE : 1.97287e-03 	 MSE : 3.40334e+01
Training Epoch 3 finished, took current epoch 69.59s, cumulative time 279.67s
Current Learning rate : 0.001
MODEL SAVED
Epoch 4, 25% 	 Loss : 3.6651e+00 	 Res : 1.6846e-01 	 Enc : 3.4319e-02 	 AEnc : 1.8437e-03 	 MSE : 3.2254e+01
Epoch 4, 50% 	 Loss : 3.5660e+00 	 Res : 1.7203e-01 	 Enc : 3.0358e-02 	 AEnc : 1.7950e-03 	 MSE : 3.1178e+01
Epoch 4, 75% 	 Loss : 3.3595e+00 	 Res : 1.5400e-01 	 Enc : 2.8038e-02 	 AEnc : 1.5038e-03 	 MSE : 3.0862e+01
Training Epoch 4 : 	 Train : 3.47989e+00 	 Res : 1.61692e-01 	 Enc : 2.98994e-02 	 AE : 1.66252e-03 	 MSE : 3.11172e+01
Validation Epoch 4 : 	 Train : 3.20401e+00 	 Res : 1.40636e-01 	 Enc : 3.07833e-02 	 AE : 1.25579e-03 	 MSE : 2.90426e+01
Training Epoch 4 finished, took current epoch 70.23s, cumulative time 349.86s
Current Learning rate : 0.001
MODEL SAVED
Epoch 5, 25% 	 Loss : 3.1111e+00 	 Res : 1.4526e-01 	 Enc : 2.4504e-02 	 AEnc : 1.4135e-03 	 MSE : 2.7654e+01
Epoch 5, 50% 	 Loss : 2.9970e+00 	 Res : 1.3340e-01 	 Enc : 2.3327e-02 	 AEnc : 1.2001e-03 	 MSE : 2.7724e+01
Epoch 5, 75% 	 Loss : 2.8208e+00 	 Res : 1.3017e-01 	 Enc : 1.9964e-02 	 AEnc : 9.9108e-04 	 MSE : 2.5955e+01
Training Epoch 5 : 	 Train : 2.92662e+00 	 Res : 1.33481e-01 	 Enc : 2.15001e-02 	 AE : 1.13736e-03 	 MSE : 2.69022e+01
Validation Epoch 5 : 	 Train : 2.67666e+00 	 Res : 1.15531e-01 	 Enc : 1.85598e-02 	 AE : 6.84382e-04 	 MSE : 2.68423e+01
