Train Metrics
Epoch 0, 25% 	 Loss : 1.3944e+03 	 Res : 3.0681e+01 	 Enc : 7.4861e+01 	 AEnc : 2.8259e+01 	 MSE : 9.1209e+01
Epoch 0, 50% 	 Loss : 2.5059e+02 	 Res : 5.2488e+00 	 Enc : 9.3397e+00 	 AEnc : 1.0500e+00 	 MSE : 5.2899e+01
Epoch 0, 75% 	 Loss : 9.1946e+01 	 Res : 2.3449e+00 	 Enc : 5.3175e-01 	 AEnc : 2.6740e-01 	 MSE : 5.0295e+01
Training Epoch 0 : 	 Train : 4.57916e+02 	 Res : 1.00825e+01 	 Enc : 2.19004e+01 	 AE : 7.67418e+00 	 MSE : 5.99672e+01
Validation Epoch 0 : 	 Train : 3.94030e+01 	 Res : 6.96125e-01 	 Enc : 4.24605e-01 	 AE : 1.53109e-01 	 MSE : 4.49020e+01
Training Epoch 0 finished, took current epoch 72.79s, cumulative time 72.72s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 3.1987e+01 	 Res : 5.2211e-01 	 Enc : 3.9299e-01 	 AEnc : 7.7206e-02 	 MSE : 4.3244e+01
Epoch 1, 50% 	 Loss : 2.3826e+01 	 Res : 3.8494e-01 	 Enc : 2.8816e-01 	 AEnc : 4.2150e-02 	 MSE : 4.0517e+01
Epoch 1, 75% 	 Loss : 2.0376e+01 	 Res : 3.3866e-01 	 Enc : 2.3133e-01 	 AEnc : 3.2521e-02 	 MSE : 3.8263e+01
Training Epoch 1 : 	 Train : 2.38807e+01 	 Res : 3.92547e-01 	 Enc : 2.81357e-01 	 AE : 4.54665e-02 	 MSE : 4.03489e+01
Validation Epoch 1 : 	 Train : 1.80516e+01 	 Res : 3.32589e-01 	 Enc : 1.72125e-01 	 AE : 2.50657e-02 	 MSE : 4.01997e+01
Training Epoch 1 finished, took current epoch 71.49s, cumulative time 144.15s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 1.7431e+01 	 Res : 2.8508e-01 	 Enc : 1.9263e-01 	 AEnc : 2.6204e-02 	 MSE : 3.8325e+01
Epoch 2, 50% 	 Loss : 1.6586e+01 	 Res : 2.7249e-01 	 Enc : 1.7668e-01 	 AEnc : 2.2683e-02 	 MSE : 3.8126e+01
Epoch 2, 75% 	 Loss : 1.4407e+01 	 Res : 2.3313e-01 	 Enc : 1.5532e-01 	 AEnc : 1.6101e-02 	 MSE : 3.6799e+01
Training Epoch 2 : 	 Train : 1.55280e+01 	 Res : 2.53136e-01 	 Enc : 1.66802e-01 	 AE : 2.00209e-02 	 MSE : 3.72740e+01
Validation Epoch 2 : 	 Train : 1.30512e+01 	 Res : 2.13498e-01 	 Enc : 1.28396e-01 	 AE : 1.37898e-02 	 MSE : 3.72162e+01
Training Epoch 2 finished, took current epoch 70.34s, cumulative time 214.47s
Current Learning rate : 0.001
MODEL SAVED
