Train Metrics
Epoch 0, 25% 	 Loss : 8.6604e+03 	 Res : 1.7231e+02 	 Enc : 2.5098e+02 	 AEnc : 1.0527e+02 	 MSE : 1.9509e+02
Epoch 0, 50% 	 Loss : 1.3488e+03 	 Res : 1.0226e+01 	 Enc : 5.4836e+01 	 AEnc : 6.3736e+00 	 MSE : 6.4052e+01
Epoch 0, 75% 	 Loss : 2.3110e+02 	 Res : 3.3190e+00 	 Enc : 1.3230e+00 	 AEnc : 2.3415e-01 	 MSE : 5.2327e+01
Training Epoch 0 : 	 Train : 2.65838e+03 	 Res : 4.82606e+01 	 Enc : 7.89807e+01 	 AE : 2.89012e+01 	 MSE : 9.04818e+01
Validation Epoch 0 : 	 Train : 8.20106e+01 	 Res : 1.00558e+00 	 Enc : 4.37964e-01 	 AE : 1.70661e-01 	 MSE : 4.62737e+01
Training Epoch 0 finished, took current epoch 101.62s, cumulative time 101.55s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 6.3170e+01 	 Res : 6.8541e-01 	 Enc : 3.9880e-01 	 AEnc : 1.0202e-01 	 MSE : 4.4561e+01
Epoch 1, 50% 	 Loss : 4.3219e+01 	 Res : 4.0754e-01 	 Enc : 3.2447e-01 	 AEnc : 3.8251e-02 	 MSE : 4.1064e+01
Epoch 1, 75% 	 Loss : 3.5820e+01 	 Res : 3.3820e-01 	 Enc : 2.6004e-01 	 AEnc : 2.9448e-02 	 MSE : 3.8473e+01
Training Epoch 1 : 	 Train : 4.40659e+01 	 Res : 4.38726e-01 	 Enc : 3.05427e-01 	 AE : 4.96365e-02 	 MSE : 4.09210e+01
Validation Epoch 1 : 	 Train : 3.06016e+01 	 Res : 2.78693e-01 	 Enc : 2.26208e-01 	 AE : 2.33700e-02 	 MSE : 3.94741e+01
Training Epoch 1 finished, took current epoch 99.52s, cumulative time 201.05s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 2.9343e+01 	 Res : 2.7743e-01 	 Enc : 2.0388e-01 	 AEnc : 2.0576e-02 	 MSE : 3.8154e+01
Epoch 2, 50% 	 Loss : 2.7410e+01 	 Res : 2.5949e-01 	 Enc : 1.8111e-01 	 AEnc : 1.7393e-02 	 MSE : 3.7939e+01
Epoch 2, 75% 	 Loss : 2.3825e+01 	 Res : 2.1894e-01 	 Enc : 1.6095e-01 	 AEnc : 1.3467e-02 	 MSE : 3.6301e+01
Training Epoch 2 : 	 Train : 2.57951e+01 	 Res : 2.42002e-01 	 Enc : 1.72338e-01 	 AE : 1.58839e-02 	 MSE : 3.69630e+01
Validation Epoch 2 : 	 Train : 2.16638e+01 	 Res : 2.06238e-01 	 Enc : 1.26712e-01 	 AE : 1.06470e-02 	 MSE : 3.72488e+01
Training Epoch 2 finished, took current epoch 100.30s, cumulative time 301.31s
Current Learning rate : 0.001
MODEL SAVED
Epoch 3, 25% 	 Loss : 2.0308e+01 	 Res : 1.8895e-01 	 Enc : 1.2405e-01 	 AEnc : 1.0164e-02 	 MSE : 3.4308e+01
Epoch 3, 50% 	 Loss : 1.9634e+01 	 Res : 1.9061e-01 	 Enc : 1.0787e-01 	 AEnc : 9.6347e-03 	 MSE : 3.4797e+01
Epoch 3, 75% 	 Loss : 1.8710e+01 	 Res : 1.8009e-01 	 Enc : 9.8664e-02 	 AEnc : 9.1875e-03 	 MSE : 3.5046e+01
Training Epoch 3 : 	 Train : 1.91058e+01 	 Res : 1.83132e-01 	 Enc : 1.05422e-01 	 AE : 9.35036e-03 	 MSE : 3.42345e+01
Validation Epoch 3 : 	 Train : 1.70818e+01 	 Res : 1.63281e-01 	 Enc : 8.86114e-02 	 AE : 9.15306e-03 	 MSE : 3.38184e+01
Training Epoch 3 finished, took current epoch 98.44s, cumulative time 399.73s
Current Learning rate : 0.001
MODEL SAVED
Epoch 4, 25% 	 Loss : 1.6288e+01 	 Res : 1.5596e-01 	 Enc : 8.1941e-02 	 AEnc : 7.8029e-03 	 MSE : 3.1861e+01
Epoch 4, 50% 	 Loss : 1.5982e+01 	 Res : 1.5685e-01 	 Enc : 7.5946e-02 	 AEnc : 7.9278e-03 	 MSE : 3.0920e+01
Epoch 4, 75% 	 Loss : 1.5361e+01 	 Res : 1.4905e-01 	 Enc : 7.1343e-02 	 AEnc : 7.5955e-03 	 MSE : 3.0770e+01
Training Epoch 4 : 	 Train : 1.57703e+01 	 Res : 1.53000e-01 	 Enc : 7.45859e-02 	 AE : 7.84300e-03 	 MSE : 3.10900e+01
Validation Epoch 4 : 	 Train : 1.46129e+01 	 Res : 1.43032e-01 	 Enc : 6.10060e-02 	 AE : 6.12757e-03 	 MSE : 3.14693e+01
Training Epoch 4 finished, took current epoch 98.71s, cumulative time 498.40s
Current Learning rate : 0.001
MODEL SAVED
Epoch 5, 25% 	 Loss : 1.5042e+01 	 Res : 1.5391e-01 	 Enc : 6.4592e-02 	 AEnc : 7.6367e-03 	 MSE : 2.9077e+01
Epoch 5, 50% 	 Loss : 1.4668e+01 	 Res : 1.4330e-01 	 Enc : 6.3285e-02 	 AEnc : 7.3153e-03 	 MSE : 3.0037e+01
Epoch 5, 75% 	 Loss : 1.3443e+01 	 Res : 1.2558e-01 	 Enc : 5.9024e-02 	 AEnc : 6.7769e-03 	 MSE : 2.7575e+01
Training Epoch 5 : 	 Train : 1.41224e+01 	 Res : 1.36623e-01 	 Enc : 6.11809e-02 	 AE : 7.03534e-03 	 MSE : 2.84052e+01
Validation Epoch 5 : 	 Train : 1.28642e+01 	 Res : 1.15910e-01 	 Enc : 5.40348e-02 	 AE : 5.31974e-03 	 MSE : 2.96123e+01
Training Epoch 5 finished, took current epoch 100.35s, cumulative time 598.68s
Current Learning rate : 0.001
MODEL SAVED
Epoch 6, 25% 	 Loss : 1.2102e+01 	 Res : 1.0879e-01 	 Enc : 5.2675e-02 	 AEnc : 5.5362e-03 	 MSE : 2.5013e+01
Epoch 6, 50% 	 Loss : 1.2804e+01 	 Res : 1.2044e-01 	 Enc : 4.9629e-02 	 AEnc : 6.0704e-03 	 MSE : 2.7081e+01
Epoch 6, 75% 	 Loss : 1.1602e+01 	 Res : 1.0249e-01 	 Enc : 4.4596e-02 	 AEnc : 4.7435e-03 	 MSE : 2.6402e+01
