Train Metrics
Epoch 0, 25% 	 Loss : 7.3011e+03 	 Res : 2.0173e+02 	 Enc : 2.5674e+02 	 AEnc : 9.9756e+01 	 MSE : 1.8509e+02
Epoch 0, 50% 	 Loss : 1.2491e+03 	 Res : 1.3167e+01 	 Enc : 6.0852e+01 	 AEnc : 7.3191e+00 	 MSE : 6.5201e+01
Epoch 0, 75% 	 Loss : 1.1268e+02 	 Res : 4.2362e+00 	 Enc : 1.5950e+00 	 AEnc : 2.0294e-01 	 MSE : 5.3211e+01
Training Epoch 0 : 	 Train : 2.23773e+03 	 Res : 5.71355e+01 	 Enc : 8.19876e+01 	 AE : 2.76985e+01 	 MSE : 8.91627e+01
Validation Epoch 0 : 	 Train : 3.92455e+01 	 Res : 2.45291e+00 	 Enc : 1.09100e-01 	 AE : 2.06813e-01 	 MSE : 5.05237e+01
Training Epoch 0 finished, took current epoch 100.62s, cumulative time 100.51s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 3.2062e+01 	 Res : 2.2416e+00 	 Enc : 1.0380e-01 	 AEnc : 1.1113e-01 	 MSE : 4.9270e+01
Epoch 1, 50% 	 Loss : 2.5646e+01 	 Res : 1.5828e+00 	 Enc : 9.5984e-02 	 AEnc : 1.1824e-01 	 MSE : 4.6593e+01
Epoch 1, 75% 	 Loss : 1.6309e+01 	 Res : 8.8502e-01 	 Enc : 9.7660e-02 	 AEnc : 7.0280e-02 	 MSE : 4.2397e+01
Training Epoch 1 : 	 Train : 2.13591e+01 	 Res : 1.34449e+00 	 Enc : 9.80779e-02 	 AE : 7.91721e-02 	 MSE : 4.53668e+01
Validation Epoch 1 : 	 Train : 8.85868e+00 	 Res : 5.00272e-01 	 Enc : 8.81847e-02 	 AE : 8.90191e-03 	 MSE : 4.30742e+01
Training Epoch 1 finished, took current epoch 98.16s, cumulative time 198.59s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 7.6242e+00 	 Res : 4.3154e-01 	 Enc : 7.9540e-02 	 AEnc : 6.3373e-03 	 MSE : 4.1201e+01
Epoch 2, 50% 	 Loss : 6.1566e+00 	 Res : 3.6714e-01 	 Enc : 6.4054e-02 	 AEnc : 3.2584e-03 	 MSE : 4.0412e+01
Epoch 2, 75% 	 Loss : 5.2881e+00 	 Res : 3.1854e-01 	 Enc : 5.6581e-02 	 AEnc : 2.4589e-03 	 MSE : 3.9123e+01
Training Epoch 2 : 	 Train : 6.00065e+00 	 Res : 3.55585e-01 	 Enc : 6.26793e-02 	 AE : 3.56113e-03 	 MSE : 3.97646e+01
Validation Epoch 2 : 	 Train : 4.63419e+00 	 Res : 2.89362e-01 	 Enc : 4.56603e-02 	 AE : 1.96162e-03 	 MSE : 3.97272e+01
Training Epoch 2 finished, took current epoch 97.87s, cumulative time 296.39s
Current Learning rate : 0.001
MODEL SAVED
Epoch 3, 25% 	 Loss : 4.3138e+00 	 Res : 2.7131e-01 	 Enc : 4.3678e-02 	 AEnc : 1.6383e-03 	 MSE : 3.7302e+01
