Residual 	 Iterations
0.1530382418032924 	 500
0.17680122090920322 	 397
0.1997594781973514 	 426
0.17710559436832574 	 456
0.019549945408429897 	 430
0.016726785405220518 	 498
6.469371009273878e-08 	 411
6.690319940883428e-08 	 192
5.899516382747086e-08 	 293
5.891817154307723e-08 	 393
5.1433048062266276e-08 	 157
5.140422036240617e-08 	 305
4.833545249979955e-08 	 469
4.72113780562671e-08 	 490
4.5026662076758974e-08 	 439
5.0951759827547554e-08 	 256
3.5888018861000596e-08 	 364
4.5335613170928247e-08 	 367
4.0648136345974655e-08 	 154
3.864191267948903e-08 	 359
3.613243333739949e-08 	 189
3.559389790646821e-08 	 459
3.9336609479545944e-08 	 415
3.3941321939067927e-08 	 260
3.586221874801414e-08 	 371
3.517712981837524e-08 	 249
3.260517313707203e-08 	 408
3.266254921508236e-08 	 175
3.5152938152348084e-08 	 344
3.1284757430750476e-08 	 408
3.054977808073015e-08 	 456
3.185039086021175e-08 	 187
3.3533469732793396e-08 	 373
3.1739854888054136e-08 	 418
3.009823410466628e-08 	 436
3.201651861898652e-08 	 406
2.9593109259527948e-08 	 459
3.351970395499135e-08 	 400
3.232187641904063e-08 	 494
3.248460813003922e-08 	 332
3.0223485845795225e-08 	 378
3.101873093743556e-08 	 437
3.2289231013316856e-08 	 383
3.195277979158324e-08 	 398
2.9755409146933755e-08 	 156
3.056648406754254e-08 	 471
2.9015635985948295e-08 	 95
2.996640432704878e-08 	 264
2.9739117864774023e-08 	 345
2.998794092301135e-08 	 490
2.952687947033881e-08 	 453
2.99847569735896e-08 	 469
2.989950240260232e-08 	 192
3.1060485846415666e-08 	 487
3.225839301359252e-08 	 460
3.067578765373512e-08 	 425
3.11661618489456e-08 	 413
3.205465140921772e-08 	 495
3.3215545929098325e-08 	 421
3.1945413225410775e-08 	 432
3.301742380491703e-08 	 332
3.255871225435524e-08 	 460
3.6784849125539874e-08 	 376
3.641780735360793e-08 	 471
3.923450609141057e-08 	 480
3.788966661550768e-08 	 494
3.96022858308567e-08 	 467
3.779965642077763e-08 	 494
4.341929048546004e-08 	 389
4.0745942629448845e-08 	 496
4.381050612182438e-08 	 369
4.532337443892585e-08 	 382
4.596064612713689e-08 	 375
4.851595351698698e-08 	 94
7.815218391400608e-08 	 381
6.483780578523147e-08 	 367
7.728134333559e-08 	 255
8.291881102077472e-08 	 419
8.98033403499495e-08 	 379
7.942538610159285e-08 	 436
8.593767973643416e-08 	 406
8.013538085660409e-08 	 350
7.6830371864947e-08 	 341
7.945948751032551e-08 	 427
9.3145183835181e-08 	 414
9.246280189636387e-08 	 337
8.549329310506828e-08 	 383
9.380613428568551e-08 	 172
9.223397029649367e-08 	 437
7.982636102151701e-08 	 449
9.454993903948715e-08 	 448
1.0673509052044239e-07 	 455
9.404094696764379e-08 	 389
8.811508767558905e-08 	 271
8.655208514521781e-08 	 480
8.344166834545e-08 	 313
8.282604969419547e-08 	 344
9.023946940105959e-08 	 358
7.217496676430946e-08 	 55
7.985361703253085e-08 	 491
7.233810886285614e-08 	 398
6.928329893514376e-08 	 415
6.59080566532129e-08 	 344
6.351530537013626e-08 	 419
5.956073498135484e-08 	 137
6.06035567749115e-08 	 421
6.112612700895873e-08 	 391
5.64791388138246e-08 	 394
5.745303795618771e-08 	 449
5.540488530390116e-08 	 45
5.77927477569217e-08 	 363
6.13840070281747e-08 	 477
5.3721992989811905e-08 	 463
5.401049315226247e-08 	 276
5.0110137730809397e-08 	 385
5.2196177653078436e-08 	 381
6.417338588365399e-08 	 321
5.675335254522476e-08 	 493
4.646880536227977e-08 	 468
5.39871140828675e-08 	 271
6.67957857132234e-08 	 409
7.146305557237405e-08 	 459
8.096565773210231e-08 	 496
7.252315702169599e-08 	 353
