Train Metrics
Epoch 0, 25% 	 Loss : 4.8200e+00 	 Res : 3.7218e+00 	 Jac : 9.8467e-02 	 Enc : 6.8557e-01 	 AEnc : 2.6680e-01 	 MSE : 4.7332e+01
Epoch 0, 50% 	 Loss : 2.4474e+00 	 Res : 1.7282e+00 	 Jac : 5.3026e-02 	 Enc : 3.4525e-01 	 AEnc : 2.7823e-01 	 MSE : 4.2728e+01
Epoch 0, 75% 	 Loss : 1.7138e+00 	 Res : 8.4595e-01 	 Jac : 4.0014e-02 	 Enc : 6.2769e-01 	 AEnc : 1.6136e-01 	 MSE : 3.8773e+01
Training Epoch 0 : 	 Train : 2.59310e+00 	 Res : 1.74054e+00 	 Jac : 6.00723e-02 	 Enc : 5.48314e-01 	 AE : 2.02816e-01 	 MSE : 4.13637e+01
Validation Epoch 0 : 	 Train : 1.37492e+00 	 Res : 5.33298e-01 	 Jac : 5.91130e-02 	 Enc : 6.65418e-01 	 AE : 8.13634e-02 	 MSE : 3.57269e+01
Training Epoch 0 finished, took current epoch 371.78s, cumulative time 371.71s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
MODEL SAVED
Epoch 1, 25% 	 Loss : 1.0830e+00 	 Res : 4.5946e-01 	 Jac : 5.7975e-02 	 Enc : 4.6674e-01 	 AEnc : 6.2596e-02 	 MSE : 3.6262e+01
Epoch 1, 50% 	 Loss : 9.6540e-01 	 Res : 4.1106e-01 	 Jac : 6.6737e-02 	 Enc : 4.0486e-01 	 AEnc : 4.7801e-02 	 MSE : 3.4951e+01
Epoch 1, 75% 	 Loss : 8.5199e-01 	 Res : 4.0583e-01 	 Jac : 6.3031e-02 	 Enc : 3.0668e-01 	 AEnc : 4.2624e-02 	 MSE : 3.3821e+01
Training Epoch 1 : 	 Train : 8.93607e-01 	 Res : 3.94026e-01 	 Jac : 6.33377e-02 	 Enc : 3.53991e-01 	 AE : 4.79957e-02 	 MSE : 3.42557e+01
Validation Epoch 1 : 	 Train : 7.96186e-01 	 Res : 4.22905e-01 	 Jac : 6.31941e-02 	 Enc : 1.77734e-01 	 AE : 9.70283e-02 	 MSE : 3.53238e+01
Training Epoch 1 finished, took current epoch 378.05s, cumulative time 749.70s
Current Learning rate DEQ : 0.005
Current Learning rate AUTOENC : 0.01
MODEL SAVED
Epoch 2, 25% 	 Loss : 6.3303e-01 	 Res : 3.1576e-01 	 Jac : 6.6556e-02 	 Enc : 1.8448e-01 	 AEnc : 3.3182e-02 	 MSE : 3.3058e+01
Epoch 2, 50% 	 Loss : 7.0952e-01 	 Res : 3.6694e-01 	 Jac : 6.3514e-02 	 Enc : 1.9199e-01 	 AEnc : 5.2046e-02 	 MSE : 3.5032e+01
Epoch 2, 75% 	 Loss : 6.1618e-01 	 Res : 3.4921e-01 	 Jac : 4.5986e-02 	 Enc : 1.3678e-01 	 AEnc : 5.0106e-02 	 MSE : 3.4098e+01
Training Epoch 2 : 	 Train : 6.30999e-01 	 Res : 3.29440e-01 	 Jac : 5.70228e-02 	 Enc : 1.63308e-01 	 AE : 4.71833e-02 	 MSE : 3.40449e+01
